,RF_Train50_5,RF_Test50_5,RF_Train30_9,RF_Test30_9,RF_Train50_3,RF_Test50_3,RF_Train10_6,RF_Test10_6,RF_Train20_3,RF_Test20_3
mae,0.174194747,0.250184177,0.139657983,0.249295395,0.225101652,0.269462803,0.16964318,0.261219717,0.237475091,0.280226171
mse,0.127508339,0.227193217,0.085352658,0.232872752,0.185686578,0.246158583,0.116165456,0.235371322,0.20440121,0.264713494
rmse,0.357083098,0.476647897,0.292151773,0.482568909,0.430913655,0.496143712,0.340830538,0.485150824,0.452107521,0.514503153
mape,0.056502747,0.078153373,0.045284533,0.078922934,0.072341871,0.084047101,0.055051862,0.082274161,0.076280372,0.087583863
