,TrainCP0.01,TestCP0.01,TrainCP0.001,TestCP0.001,TrainCP0.0001,TestCP0.0001,TrainCP0.0001_MinSp10,TrainCP0.0001_MinSp10.1,Train0.00001_MinSp10,Test0.00001_MinSp10,Train0.00002_MinSp10,Test0.00002_MinSp10
mae,0.34917524,0.347800358,0.288123444,0.290218122,0.252516151,0.261226134,0.251188611,0.264883216,0.189893402,0.289940716,0.261253007,0.27021908
mse,0.289604785,0.294674245,0.23878128,0.25132787,0.196199368,0.242374519,0.181634815,0.257819637,0.136228109,0.292442214,0.19449948,0.25443805
rmse,0.538149408,0.54283906,0.488652515,0.501326112,0.442943979,0.492315467,0.426186362,0.507759428,0.369090922,0.540779265,0.441020952,0.504418527
mape,0.105872353,0.104921509,0.08967858,0.089980155,0.079702954,0.082164844,0.080021955,0.083961815,0.061065687,0.092627814,0.082319127,0.084790766
