"","id","season","city","date","team1","team2","toss_winner","toss_decision","result","dl_applied","winner","win_by_runs","win_by_wickets","player_of_match","venue","umpire1","umpire2","umpire3"
"67",67,2009,"Cape Town","2009-04-23","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","tie",0,"Rajasthan Royals",0,0,"YK Pathan","Newlands","MR Benson","M Erasmus",NA
"131",131,2010,"Chennai","2010-03-21","Kings XI Punjab","Chennai Super Kings","Chennai Super Kings","field","tie",0,"Kings XI Punjab",0,0,"J Theron","MA Chidambaram Stadium, Chepauk","K Hariharan","DJ Harper",NA
"329",329,2013,"Hyderabad","2013-04-07","Royal Challengers Bangalore","Sunrisers Hyderabad","Royal Challengers Bangalore","bat","tie",0,"Sunrisers Hyderabad",0,0,"GH Vihari","Rajiv Gandhi International Stadium, Uppal","AK Chowdhary","S Ravi",NA
"342",342,2013,"Bangalore","2013-04-16","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","tie",0,"Royal Challengers Bangalore",0,0,"V Kohli","M Chinnaswamy Stadium","M Erasmus","VA Kulkarni",NA
"417",417,2014,"Abu Dhabi","2014-04-29","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","tie",0,"Rajasthan Royals",0,0,"JP Faulkner","Sheikh Zayed Stadium","Aleem Dar","AK Chaudhary",NA
"477",477,2015,"Ahmedabad","2015-04-21","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","field","tie",0,"Kings XI Punjab",0,0,"SE Marsh","Sardar Patel Stadium, Motera","M Erasmus","S Ravi",NA
